Name,Address,Phone,City,Postcode,Latitude,Longitude,Distance
1ClinicRx Pharmacy,16 Yonge St,(647) 344-8800,Toronto,M5E 2A1,43.6435428,-79.3760259,0
99 Pharmacy,436 Dundas St. W,(416) 977-8338,Toronto,M5T 1G7,43.6535574,-79.395664,0
Action Pharmacy,2425 Bloor St W,(416) 766-2401,Toronto,M6S 4W4,43.6491819,-79.4834832,0
Albion Finch Pharmacy,A102-6230 Finch Ave W,(416) 743-2100,Toronto,M9V 0A1,43.7416193,-79.5894463,0
Albion Medical Pharmacy,A1-900 Albion Rd,(416) 740-5500,Toronto,M9V 1A5,43.7353212,-79.5599928,0
Allcures Pharmacy,1-31 St Dennis Dr,(416) 696-1400,Toronto,M3C 1G7,43.716029,-79.3362193,0
Ambulatory Patient Pharmacy,"Sunnybrook Hospital, Room M1-101",(416) 480-4502,Toronto,M4N 3M5,43.7216846,-79.3757808,0
Apex Compounding Pharmacy,90 Eglinton Ave E,(416) 481-2231,Toronto,M4P 2Y3,43.7075668,-79.3957393,0
Apollon Pharmacy,698 Danforth Ave,(416) 463-1195,Toronto,M4J 1L1,43.67895,-79.3439105,0
Apotheca Compounding Pharmacy,417 Spadina Rd,(416) 322-0123,Toronto,M5P 2W3,43.6888451,-79.4126079,0
Ashdale Pharmacy,1568 Queen St E,(416) 469-2888,Toronto,M4L 1E9,43.6660886,-79.318813,0
Augusta Central Pharmacy,1-360 College St,(416) 961-6692,Toronto,M5T 1S6,43.6611023,-79.3833979,0
Ava Pharmacy,81 St Clair Ave E,(416) 962-2111,Toronto,M4T 1M7,43.6884794,-79.3907695,0
B & A Medical Pharmacy,15 Roncesvalles Ave,(416) 537-4101,Toronto,M6R 2K2,43.6393684,-79.4459783,0
Balmoral Chemists Inc,1366 Yonge St,(416) 934-9555,Toronto,M4T 3A7,43.6860342,-79.3936282,0
Bathurst-Bloor IDA Drug Mart,800 Bathurst St,(416) 537-2427,Toronto,M5R 3G1,43.6655628,-79.411661,0
Bay College Drug Mart,790 Bay St,(416) 640-7700,Toronto,M5G 1N8,43.6604976,-79.3860586,0
Beaches Pharmacy,1967 Queen St E,(416) 699-4999,Toronto,M4L 1H9,43.6695158,-79.3014836,0
Beaver Drugs Ltd,"196 Wilson Ave, unit 8",(416) 322-6697,Toronto,M5M 4N7,43.739728,-79.4238696,0
Beech Medical Pharmacy,855 Kingston Rd,(416) 699-1118,Toronto,M4E 1R9,43.6801472,-79.2908501,0
Best Care Village Pharmacy,3170 Eglinton Ave E,(416) 261-2838,Toronto,M1J 2H3,43.7430828,-79.2209273,0
Bio Pharmacy,1177 St Clair Ave W,(416) 654-2942,Toronto,M6E 1B5,43.6776281,-79.4434552,0
Blair Court Pharmacy,266 Donlands Ave,(416) 423-9113,Toronto,M4J 5B1,43.6896293,-79.3418911,0
Bloom Pharmacy,268 Queens Quay W,(416) 977-0970,Toronto,M5J 1B5,43.6390977,-79.3863438,0
Bloor Medical Pharmacy,1062 Bloor St W,(416) 516-6828,Toronto,M6H 1M3,43.6606846,-79.4328339,0
Bloor Park Pharmacy,728 Bloor St W,(416) 531-2426,Toronto,M6G 1L4,43.663741,-79.4181416,0
Bloor St Pharmacy,849 Bloor St W,(416) 537-4649,Toronto,M6G 1M3,43.6623045,-79.4236926,0
Bloor West Pharmacy,2262 Bloor St W,(416) 766-6477,Toronto,M6S 1N9,43.6509963,-79.4780566,0
Bloorcourt Pharmacy,936 Bloor St W,(416) 588-3100,Toronto,M6H 1L4,43.6617048,-79.427611,0
Bloor-Dundas Pharmacy,2333 Dundas St W,(416) 532-4465,Toronto,M6R 3A6,43.6559643,-79.4525483,0
