Name,Address,City,Postcode
99 PHARMACY,436 DUNDAS STREET W.,Toronto,M5T1G7
ACTION PHARMACY,101-2425 BLOOR STREET WEST,Toronto,M6S4W4
ALBION FINCH PHARMACY,"6230 FINCH AVE WEST, UNIT A102",Toronto,M9V0A1
ALLCURES PHARMACY,31 ST. DENNIS DRIVE. SUITE #1,Toronto,M3C1G7
APEX DRUG MART,90 EGLINTON AVE. EAST,Toronto,M4P2Y3
APOLLON PHARMACY,698 DANFORTH AVENUE,Toronto,M4J1L1
APOTHECA COMPOUNDING PHARMACY,417 SPADINA ROAD,Toronto,M5P2W3
ASH MEDICAL PHARMACY,2900 EGLINTON AVE EAST,Toronto,M1J2E4
ASHDALE PHARMACY,1568 QUEEN STREET E,Toronto,M4L1E9
AUGUSTA CENTRAL PHARMACY,1-360 COLLEGE STREET,Toronto,M5T1S6
AUSTINS DRUG MART,4235 SHEPPARD AVE EAST UNIT 108,Toronto,M1S1T7
AVA PHARMACY,81 ST CLAIR AVE EAST,Toronto,M4T1M7
AYDA PHARMACY,1801 EGLINTON AVENUE W.,Toronto,M6E2H8
PHARMACHOICE PARKDALE,15 RONCESVALLES AVE,Toronto,M6R2K3
B.WELL PHARMACY,262 MANITOBA ST,Toronto,M8Y4G9
BALMORAL CHEMISTS,1366 YONGE ST.,Toronto,M4T3A7
BEECH MEDICAL PHARMACY,855 KINGSTON ROAD,Toronto,M4E1R9
BEN MEDICAL PHARMACY INC,1-935 SHEPPARD AVE WEST,Toronto,M3H2T7
BIO PHARMACY,1177 ST. CLAIR AVENUE W.,Toronto,M6E1B5
BLAIR COURT PHARMACY,2364349 ONTARIO INC 266 DONLANDS AVE,Toronto,M4J5B1
BLOOM PHARMACY,1A-170 FORT YORK BLVD,Toronto,M5V0E6
BLOOR DUNDAS PHARMACY,2333 DUNDAS STREET W,Toronto,M6R3A6
BLOOR MEDICAL PHARMACY,1062 BLOOR STREET WEST,Toronto,M6H1M3
BLOOR PARK PHARMACY,728 BLOOR ST WEST,Toronto,M6G1L4
BLOOR ST PHARMACY,849 BLOOR STREET W.,Toronto,M6G1M3
