Month,ED_visits_rate,ED_visits_count,Hospitalization_rate,Hospitalization_count,Deaths_rate,Deaths_count
01-01-2003,12.7,129,7.9,80,2.7,27
02-01-2003,9.8,99,7.5,76,2.3,23
03-01-2003,15.7,160,9.9,101,3,30
04-01-2003,14.9,152,7.9,80,2.7,27
05-01-2003,15.7,160,10.1,103,2.7,27
06-01-2003,16.4,167,9.6,98,2.8,29
07-01-2003,16.1,164,10.2,104,4.2,43
08-01-2003,17.1,175,11.7,120,4,41
09-01-2003,14.9,152,10.2,104,2.9,30
10-01-2003,16.4,168,9.7,99,3.5,36
11-01-2003,16.8,172,10.4,107,2.8,29
12-01-2003,15.6,160,11,113,2.3,24
01-01-2004,15.8,162,9.5,97,2.5,26
02-01-2004,16.5,170,10.6,109,2.9,30
03-01-2004,16.5,170,11.7,120,3.4,35
04-01-2004,14.4,148,10.4,107,2.7,28
05-01-2004,14.8,153,10.1,104,3,31
06-01-2004,17.9,185,9.8,101,3.4,35
07-01-2004,16.6,171,12.2,126,3,31
08-01-2004,17,176,10.5,108,2.7,28
09-01-2004,17.1,177,10.1,104,2.4,25
10-01-2004,18.6,193,9.3,96,2.2,23
11-01-2004,17.8,184,11,114,2.1,22
12-01-2004,14.8,154,8.4,87,2.5,26
01-01-2005,16.4,170,9.8,102,3.6,37
02-01-2005,15.5,161,10.5,109,3.2,33
03-01-2005,16.1,167,9.9,103,3.2,33
04-01-2005,16.8,175,10.3,107,3.3,34
05-01-2005,15.9,166,10.2,106,3.6,37
06-01-2005,18.6,194,10.5,110,3.5,36
07-01-2005,20.3,212,11.2,117,3.6,38
08-01-2005,16.9,177,10.9,114,4.3,45
09-01-2005,15.4,161,10.2,107,2.9,30
10-01-2005,15.6,163,10.4,109,3.9,41
11-01-2005,16.9,177,12.4,130,3.5,37
12-01-2005,15.5,163,10.3,108,4.1,43
01-01-2006,17.4,183,10.9,114,2.4,25
02-01-2006,16.5,173,10.2,107,2.9,30
03-01-2006,18.8,198,9.3,98,4.7,49
