Month,ED_visits_rate,ED_visits_count,Hospitalization_rate,Hospitalization_count,Deaths_rate,Deaths_count
Jan-03,12.7,129,7.9,80,2.7,27
Feb-03,9.8,99,7.5,76,2.3,23
Mar-03,15.7,160,9.9,101,3,30
Apr-03,14.9,152,7.9,80,2.7,27
May-03,15.7,160,10.1,103,2.7,27
Jun-03,16.4,167,9.6,98,2.8,29
Jul-03,16.1,164,10.2,104,4.2,43
Aug-03,17.1,175,11.7,120,4,41
Sep-03,14.9,152,10.2,104,2.9,30
Oct-03,16.4,168,9.7,99,3.5,36
Nov-03,16.8,172,10.4,107,2.8,29
Dec-03,15.6,160,11,113,2.3,24
Jan-04,15.8,162,9.5,97,2.5,26
Feb-04,16.5,170,10.6,109,2.9,30
Mar-04,16.5,170,11.7,120,3.4,35
Apr-04,14.4,148,10.4,107,2.7,28
May-04,14.8,153,10.1,104,3,31
Jun-04,17.9,185,9.8,101,3.4,35
Jul-04,16.6,171,12.2,126,3,31
Aug-04,17,176,10.5,108,2.7,28
Sep-04,17.1,177,10.1,104,2.4,25
Oct-04,18.6,193,9.3,96,2.2,23
Nov-04,17.8,184,11,114,2.1,22
Dec-04,14.8,154,8.4,87,2.5,26
Jan-05,16.4,170,9.8,102,3.6,37
Feb-05,15.5,161,10.5,109,3.2,33
Mar-05,16.1,167,9.9,103,3.2,33
Apr-05,16.8,175,10.3,107,3.3,34
May-05,15.9,166,10.2,106,3.6,37
Jun-05,18.6,194,10.5,110,3.5,36
Jul-05,20.3,212,11.2,117,3.6,38
Aug-05,16.9,177,10.9,114,4.3,45
Sep-05,15.4,161,10.2,107,2.9,30
Oct-05,15.6,163,10.4,109,3.9,41
Nov-05,16.9,177,12.4,130,3.5,37
Dec-05,15.5,163,10.3,108,4.1,43
Jan-06,17.4,183,10.9,114,2.4,25
Feb-06,16.5,173,10.2,107,2.9,30
Mar-06,18.8,198,9.3,98,4.7,49
Apr-06,17.4,183,9.6,101,2.2,23
May-06,16.2,171,10.9,115,4.1,43
Jun-06,16.8,177,8.4,89,4.4,46
Jul-06,18.6,196,10.9,115,3.1,33
Aug-06,16.8,177,10.2,108,4.2,44
Sep-06,14.7,155,9.3,98,2.9,31
Oct-06,18.4,195,11.4,120,3.1,33
Nov-06,16.1,170,7,74,3.3,35
Dec-06,16.2,172,8.8,93,4.2,44
Jan-07,16,169,7.8,83,3.2,34
Feb-07,14.4,153,8.2,87,2.9,31
Mar-07,16.7,177,8.6,91,3.5,37
Apr-07,17.5,186,9.8,104,4.3,46
May-07,18.5,197,10.4,111,3.8,40
Jun-07,19.4,206,11.8,125,4.4,47
Jul-07,18.4,196,11.2,119,4.4,47
Aug-07,19.3,205,10.5,112,4,43
Sep-07,18,192,10.5,112,3.3,35
Oct-07,17,181,9.9,106,3.4,36
Nov-07,18.2,194,8.2,87,3.1,33
Dec-07,16.4,175,9.6,102,3.7,39
Jan-08,18.1,193,10.9,117,5.1,54
Feb-08,17.9,191,11.2,120,3.5,37
Mar-08,15.7,168,9.9,106,3.6,38
Apr-08,19.2,206,9.8,105,4.4,47
May-08,18.2,195,9,97,3.7,40
Jun-08,17.2,184,8.1,87,3.8,41
Jul-08,23.2,249,12.8,137,2.7,29
Aug-08,20.3,218,9.7,104,4,43
Sep-08,16.9,182,9.4,101,3.3,36
Oct-08,18.5,199,10.2,110,3,32
Nov-08,21.7,234,11,118,3.4,37
Dec-08,17.8,192,10.6,114,5.3,57
Jan-09,18.1,195,10.8,117,4.4,47
Feb-09,20.6,222,9.5,102,3.2,34
Mar-09,19,205,10.1,109,4.2,45
Apr-09,23,249,10.7,116,3.9,42
May-09,26.3,284,10.9,118,4.2,45
Jun-09,23.3,252,11.5,125,4.3,46
Jul-09,25,271,12.6,137,3.7,40
Aug-09,22.9,248,10.9,118,4,43
Sep-09,21,228,11,119,4.1,44
Oct-09,21.8,237,11.1,121,4.1,44
Nov-09,22.9,249,12.2,133,4,44
Dec-09,22.6,246,12.4,135,5.1,55
Jan-10,20.6,224,9.4,102,3.7,40
Feb-10,20.6,225,9.7,106,5,55
Mar-10,20.3,221,10.6,116,4.9,53
Apr-10,20.7,226,10.4,114,4.1,45
