"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	18	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	34	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	37	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	30	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	29	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-34 years"	"25-34"	Suppressed	70	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"35-44 years"	"35-44"	Suppressed	75	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"45-54 years"	"45-54"	Suppressed	56	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"55-64 years"	"55-64"	Suppressed	41	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"65-74 years"	"65-74"	Suppressed	37	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"75-84 years"	"75-84"	Suppressed	21	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"85+ years"	"85+"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"			Suppressed	453	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	17	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	32	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	38	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	33	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	36	Suppressed	Suppressed
