"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Bronx County, NY"	"36005"	"Jan., 1999"	"1999/01"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 1999"	"1999/02"	11	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 1999"	"1999/03"	13	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 1999"	"1999/04"	14	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 1999"	"1999/05"	15	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 1999"	"1999/06"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 1999"	"1999/07"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 1999"	"1999/08"	15	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 1999"	"1999/09"	17	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 1999"	"1999/12"	14	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2000"	"2000/01"	18	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2000"	"2000/02"	10	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2000"	"2000/03"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2000"	"2000/04"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2000"	"2000/05"	22	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2000"	"2000/06"	11	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2000"	"2000/07"	12	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2000"	"2000/10"	10	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2000"	"2000/11"	12	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2000"	"2000/12"	17	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2001"	"2001/01"	20	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2001"	"2001/02"	11	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2001"	"2001/03"	17	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2001"	"2001/04"	21	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2001"	"2001/05"	18	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2001"	"2001/06"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2001"	"2001/07"	23	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2001"	"2001/08"	13	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2001"	"2001/09"	17	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2001"	"2001/10"	20	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2001"	"2001/11"	12	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2001"	"2001/12"	20	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2002"	"2002/02"	17	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2002"	"2002/03"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2002"	"2002/04"	26	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2002"	"2002/05"	21	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2002"	"2002/06"	13	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2002"	"2002/07"	13	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2002"	"2002/08"	23	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2002"	"2002/09"	10	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2002"	"2002/10"	13	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2002"	"2002/12"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2003"	"2003/01"	14	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2003"	"2003/02"	18	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2003"	"2003/03"	26	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2003"	"2003/05"	23	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2003"	"2003/06"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2003"	"2003/07"	15	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2003"	"2003/08"	17	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2003"	"2003/09"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2003"	"2003/10"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2003"	"2003/11"	18	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2003"	"2003/12"	18	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2004"	"2004/01"	21	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2004"	"2004/02"	20	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2004"	"2004/03"	17	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2004"	"2004/04"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2004"	"2004/05"	14	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2004"	"2004/06"	11	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2004"	"2004/07"	12	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2004"	"2004/08"	13	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2004"	"2004/09"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2004"	"2004/10"	11	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2004"	"2004/11"	15	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2004"	"2004/12"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2005"	"2005/01"	13	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2005"	"2005/02"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2005"	"2005/03"	15	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2005"	"2005/04"	20	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2005"	"2005/05"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2005"	"2005/06"	20	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2005"	"2005/07"	18	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2005"	"2005/08"	14	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2005"	"2005/09"	18	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2005"	"2005/10"	15	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2005"	"2005/11"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2005"	"2005/12"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2006"	"2006/01"	17	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2006"	"2006/02"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2006"	"2006/03"	14	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2006"	"2006/04"	14	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2006"	"2006/05"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2006"	"2006/06"	21	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2006"	"2006/07"	35	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2006"	"2006/08"	29	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2006"	"2006/09"	20	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2006"	"2006/10"	21	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2006"	"2006/11"	18	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2006"	"2006/12"	39	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2007"	"2007/01"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2007"	"2007/02"	22	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2007"	"2007/03"	17	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2007"	"2007/04"	24	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2007"	"2007/05"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2007"	"2007/06"	25	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2007"	"2007/07"	21	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2007"	"2007/08"	20	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2007"	"2007/09"	22	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2007"	"2007/10"	21	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2007"	"2007/11"	14	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2007"	"2007/12"	21	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2008"	"2008/01"	19	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2008"	"2008/02"	21	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2008"	"2008/03"	16	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2008"	"2008/04"	18	Not Applicable	Not Applicable
