Name of hosting facility,Address,City,Postal Code,Telephone,Website,E-mail,Hours of operation,Additional information
Royal Victoria Regional Health Centre,"70 Wellington Street, Lower Level",Barrie,L4N 1K4,<onesite-phone>705-797-3095</onesite-phone>,"<a href=""https://www.rvh.on.ca/mhad/SitePages/raam.aspx?PageView=Shared&InitialTabId=Ribbon.WebPartPage&VisibilityContext=WSSWebPartPage"">rvh.on.ca</a>","<abbr title=""not available"">N/A</abbr>",Tuesday & Thursday: 9:00 a.m. to 11:30 a.m.; Wednesday: 1:00 p.m. to 3:00 p.m.; Thursday – 9 a.m. - 11:30 a.m.; follow-up appointments may be scheduled at other times,"<abbr title=""not available"">N/A</abbr>"
Niagara Health System ,"65 Third Street, Outpatient Mental Health",Welland,L3B 5X9,"<onesite-phone extension=""33522"">905-378-4647</onesite-phone>","<a href=""https://www.niagarahealth.on.ca/site/mental-health-addictions"">niagarahealth.on.ca</a>","<abbr title=""not available"">N/A</abbr>",Friday: 9:00 a.m. to 12:00 p.m. ,"Walk-in or by appointment; <a href=""https://www.niagarahealth.on.ca/site/mental-health-addictions"">book online</a>."
"Rapid Addictions Access Medicine Clinic - <abbr title=""Rapid Access Addiction Management"">RAAM</abbr> Clinic Windsor-Essex ",1574 Lincoln Road,Windsor,N8Y 2J4,<onesite-phone>519-977-9772</onesite-phone> or <onesite-phone>1-877-839-5220</onesite-phone>,"<a href=""http://www.eriestclairclinic.com/RAAM"">eriestclairclinic.com/RAAM</a>","<a href=""mailto:keri@eriestclairclinic.com"">keri@eriestclairclinic.com</a>",Monday & Friday: 8:30 a.m. to 4:45 p.m.; Tuesday: 8:30 a.m. to 1:00 p.m.; Wednesday & Thursday: 8:30 a.m. to 5:54 p.m.,"<abbr title=""not available"">N/A</abbr>"
Colborne Street Clinic,347 Colborne Street East,Brantford,N3S 3N2,<onesite-phone>519-758-0008</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:support@raamclinics.com"">support@raamclinics.com</a>",Tuesday & Friday: 9:00 a.m. to 1:00 p.m.,"Services are provided on site by Brant Community Healthcare System, Canadian Mental Health Association of Brant, Haldimand, Norfolk, De Dwa Da Dehs Nye>s Aboriginal Health Centre, Six Nations Health Services, and St. Leonard's Community Services."
Lanark Leeds and Grenville Addictions and Mental Health,"25 Front Avenue West, Suite 1",Brockville,K6V 4J2,<onesite-phone>613-342-2262</onesite-phone> or <onesite-phone>1-866-499-8445</onesite-phone>,"<a href=""https://llgamh.ca/"">llgamh.ca</a>","<abbr title=""not available"">N/A</abbr>",Monday to Friday: 8:30 a.m. to 4:30 p.m.,"<abbr title=""not available"">N/A</abbr>"
Waterloo Region Nurse Practitioner-Led Clinic,"13 Water Street North, rear entrance",Cambridge,N1R 3B2,<onesite-phone>1-844-722-2977</onesite-phone>,"<a href=""http://raacww.ca/locations/cambridge/"">raacww.ca</a>","<a href=""mailto:info@raacww.ca"">info@raacww.ca</a>",Monday to Friday: 9 a.m. to 3 p.m.,First appointment are provided on a walk-in basis
Chatham-Kent Health Alliance,"240 Grand Avenue West, Suite 204",Chatham,N7M 5L9,<onesite-phone>519-351-6144</onesite-phone>,"<a href=""http://ckha.on.ca/mentalhealth"">ckha.on.ca/mentalhealth</a>","<a href=""mailto:mhs@ckha.on.ca"">mhs@ckha.on.ca</a>","Monday, Wednesday & Friday: 1:00 p.m. to 3:00 p.m.","<abbr title=""not available"">N/A</abbr>"
Upper Grand Family Health Team,"143 Metcalfe Street, 2<sup>nd</sup> Floor",Elora,N0B 1S0,<onesite-phone>1-844-722-2977</onesite-phone>,"<a href=""http://raacww.ca/locations/rural-wellington/"">raacww.ca</a>","<a href=""mailto:info@raacww.ca"">info@raacww.ca</a>",Monday: 9:00 a.m. to 3:00 p.m.,First appointments are provided on a walk-in basis or by calling 1-844-722-2977 to speak with the Rural RACC Counsellor
CMHA Cochrane Timiskaming - Englehart District Family Health Team,"<abbr title=""post office"">PO</abbr> Box 1110 ",Englehart,P0J 1H0,<onesite-phone>705-647-4444</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:ttwarowski@cmhact.ca"">ttwarowski@cmhact.ca</a>",Monday to Friday: 8:30 a.m. to 4:30 p.m. ,Shared approach for Temiskaming Shores
Espanola Family Health Team,825 McKinnon Drive ,Espanola,P5E 1R4,"<onesite-phone extension=""4245"">705-869-1420</onesite-phone>","<abbr title=""not available"">N/A</abbr>","<a href=""mailto:jbattistelli@esphosp.on.ca"">jbattistelli@esphosp.on.ca</a>",As needed,"<abbr title=""not available"">N/A</abbr>"
Sanguen Health Centre/Guelph CHC,"176 Wyndham Street North, lower level",Guelph,N1H 8N9,<onesite-phone>1-844-722-2977</onesite-phone> ,"<a href=""http://raacww.ca/locations/guelph/"">raacww.ca</a>","<a href=""mailto:info@raacww.ca"">info@raacww.ca</a>",Monday: 9:00 a.m. to 3:00 p.m.,"<abbr title=""not available"">N/A</abbr>"
"Kingston Community Health Centre, Street Health Centre",115 Barrack Street,Kingston,K7K 1G2,<onesite-phone>613-549-1440</onesite-phone>,"<a href=""http://www.kchc.ca/street-health-centre/"">kchc.ca/street-health-centre</a>","<a href=""mailto:info@kchc.ca"">info@kchc.ca</a>","Monday-Friday: 9:00am-12noon 1:00pm-4:00pm, Saturday and Sunday: 9:00am-1:00pm",Fixed
CMHA Cochrane Timiskaming,5 Kirkland Street West,Kirkland Lake,P2N 2G1,<onesite-phone>705-647-4444</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:ttwarowski@cmhact.ca"">ttwarowski@cmhact.ca</a>",Monday to Friday: 8:30 a.m. to 4:30 p.m. ,Shared approach for Temiskaming Shores
CMHA Cochrane Timiskaming,22 Water Street,Kirkland Lake,P2N 3N8,<onesite-phone>705-647-4444</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:ttwarowski@cmhact.ca"">ttwarowski@cmhact.ca</a>",Monday to Friday: 8:30 a.m. to 4:30 p.m. ,Shared approach for Temiskaming Shores
Grand River Hospital Withdrawal Management Centre,52 Glasgow Street,Kitchener,N2G 2G7,<onesite-phone>1-844-722-2977</onesite-phone>,"<a href=""http://raacww.ca/locations/kitchener/"">raacww.ca</a>","<a href=""mailto:info@raacww.ca"">info@raacww.ca</a>",Monday & Wednesday: 9:00 a.m. to 3:00 p.m.,First appointments are provided on a walk-in basis
"Rapid Addictions Access Medicine Clinic - <abbr title=""Rapid Access Addiction Management"">RAAM</abbr> Clinic Leamington",15 John Street,Leamington,N8H 1H1,<onesite-phone>519-326-7742</onesite-phone> or <onesite-phone>1-800-265-4858</onesite-phone>,"<a href=""http://www.eriestclairclinic.com/RAAM"">eriestclairclinic.com/RAAM</a>","<a href=""mailto:keri@eriestclairclinic.com"">keri@eriestclairclinic.com</a>",Monday to Friday: 8:30 a.m. to 4:30 p.m.,"<abbr title=""not available"">N/A</abbr>"
