Name,Address,City,Postcode,Latitude,Longitude
99 Pharmacy,436 Dundas Street W.,Toronto,M5T 1G7,43.65325,-79.39567
Action Pharmacy,101-2425 Bloor Street West,Toronto,M6S 4W4,43.649192,-79.483458
Albion Finch Pharmacy,"6230 Finch Ave West, Unit A102",Toronto,M9V 0A1,43.73682,-79.30764
Allcures Pharmacy,31 St. Dennis Drive. Suite #1,Toronto,M3C 1G7,43.718572,-79.329585
Apex Drug Mart,90 Eglinton Ave. East,Toronto,M4P 2Y3,43.70763,-79.395903
Apollon Pharmacy,698 Danforth Avenue,Toronto,M4J 1L1,43.679409,-79.34384
Apotheca Compounding Pharmacy,417 Spadina Road,Toronto,M5P 2W3,43.688859,-79.412451
Ash Medical Pharmacy,2900 Eglinton Ave East,Toronto,M1J 2E4,43.739977,-79.23326
Ashdale Pharmacy,1568 Queen Street E,Toronto,M4L 1E9,43.666089,-79.318813
Augusta Central Pharmacy,1-360 College Street,Toronto,M5T 1S6,43.657379,-79.404447
Austins Drug Mart,4235 Sheppard Ave East Unit 108,Toronto,M1S 1T7,43.761553,-79.410695
Ava Pharmacy,81 St Clair Ave East,Toronto,M4T 1M7,43.68892,-79.39019
Ayda Pharmacy,1801 Eglinton Avenue W.,Toronto,M6E 2H8,43.694972,-79.453456
Pharmachoice Parkdale,15 Roncesvalles Ave,Toronto,M6R 2K3,43.63936,-79.44598
B.Well Pharmacy,262 Manitoba St,Toronto,M8Y 4G9,43.623966,-79.489719
Balmoral Chemists,1366 Yonge St.,Toronto,M4T 3A7,43.686039,-79.393592
Beech Medical Pharmacy,855 Kingston Road,Toronto,M4E 1R9,43.680112,-79.290892
Ben Medical Pharmacy Inc,1-935 Sheppard Ave West,Toronto,M3H 2T7,43.751178,-79.459019
Bio Pharmacy,1177 St. Clair Avenue W.,Toronto,M6E 1B5,43.677628,-79.443455
Blair Court Pharmacy,2364349 Ontario Inc 266 Donlands Ave,Toronto,M4J 5B1,43.68966,-79.34191
Bloom Pharmacy,1A-170 Fort York Blvd,Toronto,M5V 0E6,43.63939,-79.39979
Bloor Dundas Pharmacy,2333 Dundas Street W,Toronto,M6R 3A6,43.655895,-79.452645
Bloor Medical Pharmacy,1062 Bloor Street West,Toronto,M6H 1M3,43.660727,-79.432851
Bloor Park Pharmacy,728 Bloor St West,Toronto,M6G 1L4,43.663793,-79.418204
Bloor St Pharmacy,849 Bloor Street W.,Toronto,M6G 1M3,43.662208,-79.423691
Bloor West Pharmacy,2262 Bloor Street West,Toronto,M6S 1N9,43.650983,-79.478043
Bloorcourt Pharmacy,936 Bloor Street W.,Toronto,M6H 1L4,43.661764,-79.427737
Bloor-Sherbourne Pharmacy,608 Sherbourne Street,Toronto,M4X 1X6,43.672018,-79.376897
Blue Sky Pharmacy,1176-A St Clair Ave West,Toronto,M6E 1B4,43.67782,-79.44266
Briarhill Pharmacy,63-2700 Dufferin Street,Toronto,M6B 4J3,43.701713,-79.453993
Broadon Pharmacy,607 Gerrard Street E.,Toronto,M4M 1Y2,43.66595,-79.35119
Broadview Medical Pharmacy,743 Broadview Ave,Toronto,M4K 2P6,43.67579,-79.358097
Brock Medical Pharmacy,1637 Dundas Street West,Toronto,M6K 1V2,43.649783,-79.436267
C C Pharmacy,1351 Yonge Street,Toronto,M4T 1X9,43.686104,-79.393004
Cabbagetown Pharmacy,457 Parliament Street,Toronto,M5A 3A3,43.6637,-79.3674
Cadence Apothecary,200 Spadina Ave,Toronto,M5T 2C2,43.650308,-79.397337
Camh Pharmacy,1001 Queen St W,Toronto,M6J 1H4,43.64403,-79.41809
Canadian Addiction Treatment Pharmacy,100-1111 Finch Avenue West,Toronto,M3J 2E5,43.71851,-79.41466
Canadian Compounding Pharmacy Meds,2920 Bloor St W,Toronto,M8X 1B6,43.65197,-79.40699
Canes Community Pharmacy,135 Queens Plate Drive,Toronto,M9W 6V1,43.64366,-79.36916
Care And Health Pharmacy,2928 Danforth Ave,Toronto,M4C 1M1,43.69236219,-79.2833792
Central Weston Pharmacy,2105 Weston Rd,Toronto,M9N 1X7,43.70231,-79.52417
Charles Pharmacy,1204 King St W,Toronto,M6K 1G4,43.63911,-79.42773
Christie Pharmacy,697 St-Clair Ave West,Toronto,M6C 1B2,43.681421,-79.426185
City Pharmacy,238 Danforth Avenue,Toronto,M4K 1N4,43.677148,-79.355409
Clair Gardens Pharmacy,1263 St. Clair Avenue W.,Toronto,M6E 1B8,43.676969,-79.446646
Clairhurst Medical Pharmacy,109-1466 Bathurst St,Toronto,M5R 3S3,43.68278,-79.41835
Clairwood Drug Mart,942 St. Clair Avenue W,Toronto,M6C 1C8,43.679929,-79.435427
Cloud Pharmacy,55 Dundas St E,Toronto,M5B 1C6,43.65595,-79.37871
College Centre Pharmacy Ii,528 College Street,Toronto,M6G 1A6,43.656077,-79.410932
College Drug Mart,673 College St,Toronto,M6G 1B9,43.655007,-79.417127
